Generation,Average,Maximum
0,1081,2760
1,3143,5160
2,3017,5020
3,3060,5080
4,3497,5250
5,3218,5210
6,3405,5230
7,3231,5190
8,3464,5180
9,3304,5200
10,3313,5130
11,3191,5100
12,3326,5090
13,3083,5000
14,3360,5010
15,3254,5110
16,3524,5190
17,3274,5170
18,3553,5220
19,3223,5090
20,4208,5240
21,4246,5190
22,3974,5130
23,4160,5100
24,3856,4950
25,3976,5040
26,4043,5040
27,4118,5150
28,4134,5030
29,3860,4920
30,4060,5010
31,3745,4970
32,4028,4970
33,3880,4960
34,4036,5080
35,4119,5230
36,5190,5190
37,5120,5200
38,5200,5200
39,5180,5180
40,5021,5180
41,5013,5170
42,5120,5200
43,5120,5120
44,5150,5150
45,5200,5200
46,5110,5110
47,5011,5170
48,5220,5220
49,5210,5210
50,5210,5210
51,5080,5080
52,5239,5240
53,5220,5220
54,5161,5240
55,5230,5230
56,5038,5130
57,5127,5220
58,5122,5210
59,5223,5230